ASV_ID	BBT10-10B	BBT10-1B	BBT10-2B	BBT10-3B	BBT10-4B	BBT10-5B	BBT10-6B	BBT10-7B	BBT10-8B	BBT10-9B	BBT10-BL2	BBT11-10B	BBT11-1B	BBT11-2B	BBT11-3B	BBT11-4B	BBT11-5B	BBT11-6B	BBT11-7B	BBT11-8B	BBT11-BL1	BBT11-BL2	BBT12-10B	BBT12-1B	BBT12-2B	BBT12-3B	BBT12-4B	BBT12-5B	BBT12-6B	BBT12-7B	BBT12-8B	BBT12-9B	BBT12-BL1	BBT12-BL2	BBT13-10B	BBT13-1B	BBT13-2B	BBT13-3B	BBT13-4B	BBT13-5B	BBT13-6B	BBT13-7B	BBT13-8B	BBT13-9B	BBT13-BL1	BBT13-BL2	BBT14-10B	BBT14-11B	BBT14-12B	BBT14-3B	BBT14-4B	BBT14-5B	BBT14-6B	BBT14-7B	BBT14-8B	BBT14-9B	BBT14-BL2	BBT14-BL3	BBT15-11B	BBT15-12B	BBT15-13B	BBT15-14B	BBT15-1B	BBT15-2B	BBT15-3B	BBT15-4B	BBT15-7B	BBT15-8B	BBT15-BL1	BBT16-10B	BBT16-1B	BBT16-2B	BBT16-3B	BBT16-5B	BBT16-6B	BBT16-7B	BBT16-8B	BBT16-9B	BBT16-BL1	BBT17-10B	BBT17-1B	BBT17-2B	BBT17-3B	BBT17-4B	BBT17-5B	BBT17-6B	BBT17-7B	BBT17-8B	BBT17-9B	BBT17-BL1	BBT17-BL2	BBT18-10B	BBT18-1B	BBT18-2B	BBT18-3B	BBT18-4B	BBT18-5B	BBT18-6B	BBT18-7B	BBT18-9B	BBT18-BL1	BBT18-BL2	BBT19-10B	BBT19-1B	BBT19-2B	BBT19-3B	BBT19-5B	BBT19-6B	BBT19-7B	BBT19-9B	BBT19-BL1	BBT19-BL2	BBT20-10B	BBT20-11B	BBT20-12B	BBT20-1B	BBT20-2B	BBT20-3B	BBT20-4B	BBT20-5B	BBT20-6B	BBT20-9B	BBT20-BL1	BBT20-BL2	BBT21-10B	BBT21-11B	BBT21-12B	BBT21-1B	BBT21-2B	BBT21-3B	BBT21-4B	BBT21-5B	BBT21-6B	BBT21-9B	BBT21-BL1	BBT21-BL2
79c5bf8e719046b98ea4b9639d500374	1223	1172	0	0	57	2561	779	2419	71	2762	19250	0	82	0	6412	3795	6844	10188	0	3307	7803	0	1665	14603	5458	10350	4089	12041	4224	1778	11522	16231	245	0	11353	0	18086	12206	11649	8755	20893	14376	23665	0	116	0	12765	13997	12759	11365	23656	22229	24250	13842	15335	13491	10802	0	7190	3762	3276	8075	4120	828	4796	0	3971	943	0	0	5600	1173	3045	5329	0	11807	0	11211	0	0	0	0	0	0	3536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	90	0	3149	601	0	7669	4027	4441	0	3108	109	5586	8035	2091	1686	5176	18736	9973	117	9798	0	0
852e37ecfa2b3985d66117af128b8063	8896	14220	2865	15464	3859	21560	18858	12360	17648	5829	80	424	0	2367	6657	12373	5788	558	891	214	0	1274	41	35	1078	532	3605	966	8634	22	4311	38	0	141	9185	1343	1967	8172	3316	14777	5406	3451	65	555	47	2133	7758	131	1586	974	31	115	70	7215	81	1593	0	77	463	41	12194	117	359	424	0	66	1960	27	69	67	2692	0	43	20887	0	0	3274	3658	43	3772	4291	45	40	0	21	32	22	18	831	0	36	439	533	1144	1743	2161	17340	1209	363	383	645	274	2489	555	185	558	379	5224	53	647	819	91	9383	49	11502	14302	7841	949	2442	3093	80	18411	2682	3666	24451	56	8801	8612	11220	15988	4213	9083	26929	10982	47	6014
c35019d22e9c1a6929e8f7fbfbe0e816	0	0	0	3702	0	0	0	0	0	0	0	6332	0	9250	0	0	0	0	0	0	0	4071	0	0	0	0	0	0	0	0	0	0	0	18980	0	25822	0	0	0	0	0	0	0	3888	0	874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4697	0	0	22998	21645	0	0	0	0	1709	0	8550	0	4521	6245	5635	3331	5610	3074	0	7223	3758	2478	19436	13129	8403	6035	8359	11490	3809	11278	9536	10889	7620	9570	8932	2275	2015	366	11386	718	4832	2634	7967	6740	12083	6426	0	84	0	59	0	0	0	0	0	0	10589	0	0	0	0	0	0	0	0	0	0	0	12824	6796
0ae696476b906c4fc238a851e28b7034	779	24	479	21	4922	218	1055	4060	1333	15338	26	503	2465	2125	47	0	149	506	1030	1985	7882	23	0	25	0	0	679	16	860	9	0	12	21	17	4072	345	779	1711	17	0	0	0	52	4993	30	213	520	8493	8463	258	488	41	1819	20	1297	429	173	27	1901	14	0	9	1584	178	11419	5543	27	13	15	28	206	764	776	0	4620	825	34	2925	0	0	0	2735	28	0	0	213	0	13	14	11	13	1462	134	231	11	0	13	17	0	16	117	1793	490	1558	13	3566	0	1490	34	0	322	0	26	3215	4220	0	1315	11	1597	23	20	17	0	1962	0	1100	3006	3469	4768	0	247	31	16242	0	23	27
298d8aa350346383a9c52f6ce7a0f3e8	0	0	2	4621	0	14	316	13	8	0	0	0	0	8	14	0	0	0	0	3	0	1584	0	0	0	207	3	0	2520	867	5	3294	4	0	13	756	5	12	10	0	0	12	16	1253	28948	6310	9	6	6	16	11	7	0	4553	2224	26	133	0	0	0	3	0	3	0	11	0	11	0	0	658	9	0	0	0	5	6	1495	77	6386	0	0	0	8	0	12	50	2166	0	364	0	4	2294	3050	62	0	1424	100	1669	0	217	642	29	1188	136	0	54	11	1749	376	2474	0	0	4	13	13	0	0	5821	17	0	6	13	9211	0	7	0	3774	6	1460	9	0	5089	9	5109	17	12026
29715cbfac4933ea6978f13159a0fd5f	0	0	2102	0	4071	0	313	0	0	0	0	380	1025	164	0	638	638	0	0	0	1197	0	0	0	0	0	0	0	2396	0	0	0	0	0	0	0	2572	0	0	0	0	0	0	4417	0	4745	0	0	0	0	0	0	0	0	435	0	6854	0	0	0	0	0	0	5321	47	0	0	0	0	0	0	1399	0	0	2359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2234	0	1658	762	0	0	0	676	0	4048	6643	2031	2975	733	11726	0	7609	0	2339	0	0	0	348	0	0	0	0	0	4334	1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9a0f9d52c50382f5bddbb0f833f41179	8313	0	14	0	0	0	0	0	0	22	0	651	0	0	0	186	0	1535	106	0	0	0	3835	0	433	0	0	0	0	0	0	0	0	0	148	137	225	230	0	0	0	0	0	235	0	0	0	0	0	8420	346	69	0	0	0	3026	0	0	0	0	0	0	398	387	42	0	0	57	0	0	1695	97	539	29	0	2470	0	0	0	2195	0	912	2438	0	0	0	2120	0	0	0	0	0	0	201	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	321	0	23	0	4026	389	2585	0	2879	0	0	0	0	25	266	0	6794	16	0	107	0	0	0	0	0	0	0
b1f1df8f6acfc3f4cc878f114185e853	0	84	47	0	8	0	0	0	0	6	0	8	6	0	0	16	105	0	0	0	0	202	0	218	0	0	0	0	0	33	0	6	4	0	0	0	162	0	749	7	0	0	73	0	0	21	243	10	0	0	0	0	0	169	12	0	0	0	0	2156	0	2	0	3	0	0	6	28	0	4	7	0	0	0	0	6	3136	4	0	0	0	0	0	0	0	0	0	5	0	3	60	0	148	0	0	0	0	0	9	0	31	40	29	0	0	4	4	0	0	0	9	0	14994	14	479	0	9	0	1438	7	9	491	5222	2114	74	0	0	546	9	0	1103	11	8	1962	136	5
8377854474338cf60b17f3172f6e33e4	0	0	0	0	0	0	0	0	0	0	0	0	0	277	4	0	0	0	27	10	0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	8	0	0	0	0	0	0	0	0	0	18	379	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	274	5	0	0	0	0	99	83	272	0	0	0	7	0	0	0	0	0	0	0	0	0	0	61	0	0	0	375	180	217	0	0	0	0	0	6	0	49	43	9	12	10	0	30	0	21	0	0	5071	9272	13	0	0	0	3362	6474	9511	0	11	0	0	0	0	6439	0	7	0	4063	16	2436	8	0
0ee2bec099a05d8d4609d2e9cfb61324	1392	0	0	5	0	0	71	105	70	17	0	44	0	0	0	3	5	172	361	566	0	0	118	88	396	0	0	3	0	0	0	0	0	0	39	117	62	606	0	0	11	422	0	0	4	10	24	233	1736	1160	0	0	0	58	1405	583	68	0	579	7	0	0	1138	128	121	26	0	0	0	0	757	0	29	0	0	0	1666	307	0	0	187	1169	0	0	604	0	200	0	0	0	0	0	0	0	0	0	0	95	0	121	0	61	66	3	272	0	0	4	0	22	13	0	16	3789	2584	228	1013	3	1705	4	0	6	0	0	0	5829	5557	8200	4637	14	7	18	9	10	9	13
