ASV_ID	Phylum	Class	Order	Family	Genus	Species	Confidence
b420cc4cbba68eb58ab7be309d204606	NA	NA	NA	NA	NA	NA	NA
a20c47626ebdebb8ba87a6258ebc9856	Chordata	Actinopterygii	Siluriformes	Ictaluridae	Ameiurus	NA	98.6091398
c002110654e04988801454dd4b9fbc22	Chordata	Actinopterygii	Siluriformes	NA	NA	NA	81.56391819999999
11f36194dfad8c360e14e3f94264904f	Chordata	Actinopterygii	Siluriformes	Ictaluridae	NA	NA	94.8919135
a1a54459494154f998792c9c5ffcbc91	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	100
1e646e70fecffb34dc28c644c3e111c9	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	100
4f991146a6228211cf0a27f7bb28a7c1	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.408
1c602b89bd6d41ebb33f3cf918f8da71	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.408
eaa3fb77d07363d050c936c1e7c040f2	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.408
ec550122652944ead7fed318e45ca3bd	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	NA	98.817
69645e62ce3dcabbc86b1f228e098c66	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.408
9c5114711e97ca005f198e5551e05bef	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.408
990e35eb3a33a4437b739c78ecdd6a97	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.408
c0ee9ea480068fa6f8e78b35dee7d362	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.408
988328c7b47cbda560b022ed3d5c53a0	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.408
fa185a9da303fa3fd908bc3ef63b85d5	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.408
417c1c5cbf75e453331061836c5d0025	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.408
10177416e5770ffc335fca124101e3f6	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus	99.401
510fc640c809ed5a09b902588703a6ee	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata	100
caba00a3b4252ef1350b9c03c66fea54	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata	100
80a12c2e3bae94569f91881e94bfcc73	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata	99.408
66f6f95a7cd4ca3918aca5a404cc21f0	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata	99.408
c21e397e802518dbc8252478a8be79db	Chordata	Actinopterygii	Cypriniformes	Nemacheilidae	Barbatula	Barbatula barbatula	100
4cf42de5cddd00064d51dfe844d61dec	Chordata	Actinopterygii	Gadiformes	Lotidae	Brosme	Brosme brosme	99.99999790000001
852e37ecfa2b3985d66117af128b8063	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.2967247
29715cbfac4933ea6978f13159a0fd5f	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.3353077
cc5de1240d6aec211bdc0ba4bb567a1c	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.9899559
358b85466f0093cbcaddf3f25b296726	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.92664
d944fa73762f2ec14340507864d22588	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.90439810000001
1e4a05c71502a4f48610bd441fcab27f	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.8865903
bf0716044f0c0be85735b0ac90b17861	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.8230365
bf5b2f921586fe5c2a3a4d0e76821ed1	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.9787854
6b5ad4bb8f8a35e9c7c862df6beb0f6d	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.87564909999999
f9e78fc6f0b100d87729a84e14c147ff	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.8453178
11174f7ab82760261c63d86e70df1150	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.8564641
10832d30009b02dfec9cdedfeba5b8ec	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.7416676
088767a34ead6142e68a872369473b16	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.4546215
7faa9304488d3cafffcccedb149dc0a5	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.2439031
6fe50f27fb622c29d2eb99405f228cee	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.43584050000001
918f5e1e851d9f80fc859a1b890304cb	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	96.5490606
d7b2574f6a222841ad1b61ac15984d5d	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.82617499999999
b647cdad8d28c7e9d7c08248ecdbda03	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.3273746
98d7c54f52cf6803b475cba7b1a84d93	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.4301226
8fc3cea70b127aff09be3872eaf5985d	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.42679629999999
6be472b272aea882531ac038ed08762b	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	96.1599978
aa361f68345879191705fb88710c05fb	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	97.3972848
51d76beda6dafbd418f0dad03dd4f65e	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.6576039
af3f016e1ffc6fec371731581122dd1c	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.8326971
8a75cb3419869424ee5a36764e006785	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.4037563
933c59d07fa134b06d1a1116a95520b5	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.3666715
7bfbf224db92a21bed4a52763e6a500e	Chordata	Actinopterygii	Clupeiformes	NA	NA	NA	71.4114336
1f10d7c988492b388a69c651dd481a59	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	96.378755
68d98e0128f8d0a38f0e49af3dc9b223	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.2395589
a1ccc550c4160e695cf0085092489f2c	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.3749691
5d47f12a165393b21ce48b71b583001d	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.5114059
ca06f19250610f2329fbfb19bf4c84b6	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	97.7017359
cdadfb172fcd4f1c2a11ac6bf2d6c98b	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	96.1087361
fbc4b0c17d07e5621ed81342d2e62b5d	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.47615280000001
efb675a0b9257fac2a059f52756e0a73	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	96.1599686
32b311eae4a082f487243ad337dd9633	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.50369789999999
ea339e8252693368d34a526526389524	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.9983732
d17aa81552a99e3fc04976a9b000fcd4	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	97.61642040000001
2ff11622afa805cf37b83d9c9e3f6d79	Chordata	Actinopterygii	Clupeiformes	NA	NA	NA	84.2307508
34ed15c593e0525c5e59ba6a95df78bb	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.3273746
eba94b93967b09be552c67f32ca29582	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.8629143
a9528e1dffddbe20e601118a0db89f95	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.6308842
75b0f376117520ebaf41b2c3be3b28fd	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.3588371
7d8dd3b838b085ac32b269acfb516d9c	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	NA	98.8751791
5e86d624d2ea3e3ce844c7037430ce81	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	Clupea harengus	99.9798099
