ASV_ID	Domain	Phylum	Class	Order	Family	Genus	Species	Confidence
000ac62751347cf9a20f2704612ef09e	Eukaryota	 Prymnesiophyceae	 Prymnesiophyceae	 Prymnesiales	 Prymnesiales	 OLI51059	 uncultured_eukaryote	0.9999988035260737
000e0306835dbbc52bd8ae1e773e4f70	Eukaryota	 Nemertea	 Enopla	 Monostilifera	 Monostilifera	 Monostilifera		0.9999867512655054
001208b50667e1fec153144305515393	Eukaryota	 Tunicata	 Ascidiacea	 Enterogona	 Enterogona	 Enterogona	 Ciona_intestinalis	0.9999006368124389
00203e06839d606257246930f5349821	Eukaryota	 Ochrophyta	 Chrysophyceae	 uncultured	 uncultured	 uncultured	 uncultured_marine	0.9987125072636734
003d30d06dc49b412632d5d67ff7a37e	Eukaryota	 Ciliophora	 Intramacronucleata	 Spirotrichea	 Oligotrichia			0.9995959993568561
0042d1ff1d6c7b136e9654b778009fb5	Eukaryota							0.9999999999996297
004d90b428552a2906c938c154acf64c	Eukaryota	 Ochrophyta	 Chrysophyceae	 uncultured	 uncultured	 uncultured	 uncultured_marine	0.9965290315036328
00536c57037362c59756d8e7f6e4d20f	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_II	 Syndiniales_Group_II	 uncultured_eukaryote	0.9960573039059545
00764752a1be92b000dd8936a713795d	Eukaryota	 Arthropoda	 Ostracoda	 Podocopida	 Podocopida	 Podocopida		0.9998646291355117
007d56ab8730c16caccc83c83c8d57be	Eukaryota	 Dinoflagellata	 Dinophyceae					0.9332885989723989
007d7807446bb1104d5c7559b66403fd	Eukaryota	 Ciliophora	 Intramacronucleata	 Conthreep	 Phyllopharyngea	 Paracineta	 uncultured_eukaryote	0.999997432
008299c055da4642d1db7ad121ff2ae2	Eukaryota	 Dinoflagellata	 Dinophyceae					0.9125124329052614
00942b46a061c6c8525803d3dc0b5ded	Eukaryota	 Ciliophora	 Intramacronucleata	 Spirotrichea	 Oligotrichia	 uncultured	 uncultured_ciliate	0.9999961274445986
00942b7200a59b7525427b044805a725	Eukaryota							0.9999482722744422
00b4b8bab95b00726199314a895b4901	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_I	 Syndiniales_Group_I	 uncultured_marine	0.723755508
00bc628f1ff647fb46b901a66331de92	Eukaryota	 Dinoflagellata	 Dinophyceae	 Dinophysiales	 Dinophysiales	 Sinophysis	 uncultured_marine	0.9999999990695585
00c8d1917c40de801239a1bc90d85c75	Eukaryota							0.9999999995157459
00d3f259d8d0bdd1b5512c8cadbef702	Eukaryota	 Dinoflagellata	 Dinophyceae	 Gonyaulacales	 Gonyaulacales	 Gonyaulax	 Gonyaulax_spinifera	0.9883296078005597
00da7a7eeafb699bad4b1ad01fc4eeca	Eukaryota	 Cercozoa	 Thecofilosea	 Thecofilosea	 Thecofilosea	 uncultured		0.9986868836354356
00e5f19c8d3f1b233c90534f235599d1	Eukaryota	 Labyrinthulomycetes	 uncultured	 uncultured	 uncultured	 uncultured	 uncultured_eukaryote	0.9946063524320099
00f1f11929be1edb9d7300292e03b478	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_II	 Syndiniales_Group_II	 uncultured_eukaryote	0.7128284453881194
00f715aaac0efde8243627bfe4cfde8a	Eukaryota	 Dinoflagellata	 Dinophyceae					0.8476020806613087
0120572bc397f20a92604a43051b65b2	Eukaryota	 Ciliophora	 Intramacronucleata	 Conthreep	 Phyllopharyngea	 Ephelota		0.8574119295253294
016119bae19d1cca8495e0e8bfb51ddd	Eukaryota	 Dinoflagellata	 Dinophyceae					0.9868915231129893
0166664623e32d6728e43a5ce33f8527	Eukaryota	 Phragmoplastophyta	 Embryophyta					0.7048795402019877
016b875e56aae18ad8a25a4a56fa6e62	Eukaryota	 Cryptomycota	 LKM11	 LKM11	 LKM11	 LKM11	 uncultured_alveolate	0.703722565
01771c7c822199aaba4c841660cad002	Eukaryota	 Cercozoa	 uncultured	 uncultured	 uncultured	 uncultured	 uncultured_eukaryote	0.7524355296378399
01812859e6be71c08c633ffda629c1a0	Eukaryota	 Bryozoa	 Gymnolaemata	 Cheilostomatida	 Cheilostomatida	 Cheilostomatida	 Membranipora_membranacea	0.999999971
0189c21ad3e54505b0086a5acc2a3553	Eukaryota	 Dinoflagellata	 Dinophyceae	 Peridiniales	 Peridiniales	 Islandinium		0.7575373288383798
01985aa0f834639446fb4df329884dfd	Eukaryota	 Chlorophyta	 Mamiellophyceae	 DSGM-81	 DSGM-81	 DSGM-81		0.7993614867666351
019fac9fd5145a49bd46f0184b4b70a9	Eukaryota	 Cercozoa						0.9999909786973348
01a89edd0a52dc71414e11a247382566	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales	 uncultured	 uncultured_eukaryote	0.91175728
01b6c9b0f9b9d800cca499de250d571a	Eukaryota	 Chlorophyta	 Prasinophytae	 Prasinophytae	 Prasinophytae	 Prasinophytae	 Pterosperma_cristatum	0.997222866
01c4c90d199257ff932dce332e18f02a	Eukaryota	 Dinoflagellata	 Dinophyceae					0.9633669075917111
01cc11cd5ef9fe68a257e674d30869e1	Eukaryota							0.9287710734370455
01ee16d419dc7c789c169aed5daf7b4b	Eukaryota	 Labyrinthulomycetes	 uncultured	 uncultured	 uncultured	 uncultured	 uncultured_eukaryote	0.981585055
01f7752ca5994f9e515f84c5b6817da1	Eukaryota	 Incertae_Sedis	 Incertae_Sedis	 Incertae_Sedis	 Incertae_Sedis	 Pirsonia		0.9999907433310232
0209fe6f6dd31ebceaee775a031ae3bf	Eukaryota	 Dinoflagellata	 Dinophyceae	 Gymnodiniphycidae	 Kareniaceae	 Karlodinium	 uncultured_marine	0.9694247758641088
021f3e56a7d7f5a6dff4df6269c5abec	Eukaryota	 Cercozoa	 Chlorarachniophyta	 Chlorarachniophyta	 Chlorarachniophyta	 uncultured	 uncultured_Cercozoa	0.9953682963762244
022d8c98d91eb1ddbd4dec60c3a2ffd4	Eukaryota	 Diatomea	 Mediophyceae	 Mediophyceae	 Mediophyceae	 Thalassiosira	 uncultured_marine	0.8373547796905646
0235118a55dc19cb70c93b606aca0e46	Eukaryota	 Chlorophyta	 Prasinophytae	 Pseudoscourfieldiales	 Pseudoscourfieldiales	 Prasinoderma	 uncultured_eukaryote	0.9999154376746181
0237e1fd987cc8692a9b8b51da407781	Eukaryota	 Ciliophora	 Intramacronucleata	 Conthreep	 Phyllopharyngea	 Paracineta	 Paracineta_limbata	0.999999861
0239242737c8a18a26b6fe4ee5b380ea	Eukaryota	 Cercozoa						0.9999760797522464
023a6801f4e2472f9a81b4ff1b510feb	Eukaryota	 Dinoflagellata	 Dinophyceae					0.8894809382178506
0242c3134f74d7560429f16bdaf0e530	Eukaryota							0.9999995677055715
02544d9f60ecc3e965f0f1ce5ddcaa01	Eukaryota	 Cercozoa	 Cercomonadidae	 Cercomonadidae	 Cercomonadidae	 Paracercomonas	 uncultured_cercomonad	0.9965864634234806
025cf82f6afd670bd72b4af1020888ab	Eukaryota	 Ochrophyta	 Chrysophyceae	 Ochromonadales	 Ochromonadales	 Paraphysomonas	 uncultured_marine	0.7608023770856887
027009a1da2924782a3a23ca8318c0a1	Eukaryota	 Picozoa	 Picozoa	 Picozoa	 Picozoa	 Picozoa	 uncultured_biliphyte	0.9950304415795617
027337708e6d6f9956a7f6ce00cd6711	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_II	 Syndiniales_Group_II		0.8328357775812945
0275930e4e22c4e6211aad33e008890f	Eukaryota	 Chlorophyta	 Mamiellophyceae	 DSGM-81	 DSGM-81	 DSGM-81	 uncultured_eukaryote	0.9622898298053658
027cdf779a233bc97c9970299020015b	Eukaryota	 Ochrophyta	 Raphidophyceae	 Chattonellales	 Chattonellales	 Chattonella	 Chattonella_subsalsa	0.9984692225788407
0285cf9b84a76b9c081bd73e5789dc7b	Eukaryota	 Cercozoa	 Phytomyxea	 Phytomyxea	 Phytomyxea			0.7041247321600742
02a10d695b80bdfe90f8e3f808cdf3e7	Eukaryota	 Cercozoa	 Imbricatea	 Marimonadida	 Marimonadida	 NAMAKO-15	 uncultured_marine	0.9803136832185808
02a5fa920fbea37b82dc00ced0082022	Eukaryota	 Nemertea	 Anopla	 Heteronemertea	 Heteronemertea	 Heteronemertea	 Cerebratulus_lacteus	0.9999754143684307
02c91b2566ff3b75493aa3f888605254	Eukaryota							0.9999990484712153
