sampleID	seq_sampleID	Date	transect_no	sample_no	Depth (m)	Location	latitude	longitude	niskin_time	freeze_time	Volume filtered (ml SW)	field_notes	extraction_date	elution_volume	nanodrop_dna	nanodrop_260-230	nanodrop_260-280	COI_16S_18S_PCR_dilutions	COI_16S_18S_qPCR_dilutions	12S_dilutions	16S_spike_copies	16Sin_qPCR_quantity	16S_qPCR_quantity	16SV4V5_seq	16S_DADA2_reads	16S_spike_main_ASV	18S_spike_copies	18S_qPCR_quantity	18SV4_seq	18S_DADA2_reads	18S_spike_main_ASV	12S_qPCR_quantity	12S_DADA2_reads	COI_spike_copies	COI_qPCR_quantity
BBT10-1B	BBT10_1B_2023Jun22_SackvilleRiver_1m	2023-06-22	10	1	1	Sackville River	44.43068	-63.40131	10:13	10:26	480		2024-06-12	100	63.4	1.57	1.91	0.25	0.01	1	500000000	24083	1205972	original	18162	29	1000000	176099	original	26116	337	219	23562	10000000	13461
BBT10-10B	BBT10_10B_2023Jun22_McNabsIsland_20m	2023-06-22	10	10	20	McNabs Island	44.3697	-63.32756	14:55	15:08	820		2024-06-12	100	53.4	2.04	1.94	0.5	0.01	1	500000000	47811	426906	original	4553	5	1000000	165959	original	10134	339	44	29905	10000000	6269
BBT10-2B	BBT10_2B_2023Jun22_SackvilleRiver_12m	2023-06-22	10	2	12	Sackville River	44.43068	-63.40131	10:13	10:26	750		2024-06-12	100	92.1	200	1.87	0.25	0.01	1	500000000	87590	795578	original	3902	11	1000000	637707	original	20769	206	18	11906	10000000	11566
BBT10-3B	BBT10_3B_2023Jun22_DRDCBarge_1m	2023-06-22	10	3	1	DRDC barge	44.4103	-63.39056	12:00	12:14	540		2024-06-12	100	72.4	1.88	1.89	0.25	0.01	1	500000000	127526	1295589	original	14767	22	1000000	303826	original	14066	67	113	31317	10000000	16702
BBT10-4B	BBT10_4B_2023Jun22_DRDCBarge_20m	2023-06-22	10	4	20	DRDC barge	44.4103	-63.39056	12:15	12:30	980		2024-06-12	100	66.4	2.2	1.93	0.25	0.01	1	500000000	145776	959778	reseq	2461	6	1000000	363583	original	11103	191	20	24641	10000000	13766
BBT10-5B	BBT10_5B_2023Jun22_McKayBridge_1m	2023-06-22	10	5	1	McKay bridge	44.40651	-63.36745	12:59	13:12	600		2024-06-12	100	75.9	2.02	1.9	0.25	0.01	1	500000000	157511	790988	original	21906	57	1000000	232257	original	21394	297	331	31083	10000000	11510
BBT10-6B	BBT10_6B_2023Jun22_Tufts_1m	2023-06-22	10	6	1	Tufts Cove	44.40482	-63.35722	13:29	13:41	570	FC tubes associated with this sample are BBT 10-7A and 7B	2024-06-12	100	62.3	2.43	1.96	0.25	0.01	1	500000000	121240	697334	original	19354	72	1000000	284021	original	70851	991	561	28904	10000000	9288
BBT10-7B	BBT10_7B_2023Jun22_McKayBridge_20m	2023-06-22	10	7	20	McKay bridge	44.40651	-63.36745	13:12	13:26	860	FC tubes associated with this sample are BBT 10-6A and 6B	2024-06-12	100	55.1	2.25	1.92	0.5	0.01	1	500000000	121751	1278784	cleaned	32821	82	1000000	963630	cleaned	108711	710	93	28490	10000000	14523
BBT10-8B	BBT10_8B_2023Jun22_Tufts_8m	2023-06-22	10	8	8	Tufts Cove	44.40482	-63.35722	13:42	13:57	780	"Niskin weights hit the bottom, bottle should be fine"	2024-06-12	100	77.5	2.17	1.93	0.25	0.01	1	500000000	66664	753881	original	4346	7	1000000	219712	original	23052	253	307	26566	10000000	10526
BBT10-9B	BBT10_9B_2023Jun22_McNabsIsland_1m	2023-06-22	10	9	1	McNabs Island	44.3697	-63.32756	14:40	14:53	600		2024-06-12	100	71.8	2.14	1.93	0.25	0.01	1	500000000	184277	386043	original	37454	41	1000000	179720	original	37059	620	15	32530	10000000	9983
BBT10-BL1	BBT10_Blank1_2023Jun22_CoolerBlank_0m	2023-06-22	10	Blank1	0	Cooler blank 1	N/A	N/A	9:24	9:31	1500		2024-06-12	100	4.7	1.41	3.38	1	0.01	1	500000000	45646	83847	original	458	293	1000000	2073	original	11625	9291	173	N/A	10000000	114
BBT10-BL2	BBT10_Blank2_2023Jun22_CoolerBlank_0m	2023-06-22	10	Blank2	0	Cooler blank 2	N/A	N/A	14:00	14:09	940		2024-06-12	100	4.5	1.23	3.28	1	0.01	1	500000000	48163	70318	original	472	376	1000000	2884	original	19565	8716	26	22755	10000000	173
