sampleID,seq_sampleID,Date,transect_no,sample_no,Depth (m),Location,latitude,longitude,niskin_time,freeze_time,Volume filtered (ml SW),field_notes,extraction_date,elution_volume,nanodrop_dna,nanodrop_260-230,nanodrop_260-280,COI_16S_18S_PCR_dilutions,COI_16S_18S_qPCR_dilutions,12S_dilutions,16S_spike_copies,16Sin_qPCR_quantity,16S_qPCR_quantity,16SV4V5_seq,16S_DADA2_reads,16S_spike_main_ASV,18S_spike_copies,18S_qPCR_quantity,18SV4_seq,18S_DADA2_reads,18S_spike_main_ASV,12S_qPCR_quantity,12S_DADA2_reads,COI_spike_copies,COI_qPCR_quantity,uL_per_qPCR_reaction,uL_per_PCR_reaction,16Sin extraction efficiency,DNA (ng/L SW),DNA (μg/L SW),12S copies/L SW,16S copies/L SW,18S copies/L SW,COI copies/L SW,12S copies/L SW * eff,16S copies/L SW * eff,18S copies/L SW * eff,COI copies/L SW * eff,16S_spike_ratios,18S_spike_ratios,16S_quant_reads,18S_quant_reads,16S seq/L SW,18S seq/L SW
BBT10-1B,BBT10_1B_2023Jun22_SackvilleRiver_1m,2023-06-22,10,1,1,Sackville River,44.43068,-63.40131,10:13:00,10:26:00,480,NA,2024-06-12,100,63.4,1.57,1.91,0.25,0.01,1,500000000,24083,1205972,original,18162,29,1000000,176099,original,26116,337,219,23562,10000000,13461,5,2,0.096332,13208.333333333334,13.208333333333334,9125,5024883333.333333,733745833.3333334,56087500,94724.49445667068,52162140652.46578,7616844177.774087,582231241.9549059,0.0015967404470873252,0.012903966916832594,313137931034.4828,77495548.96142434,27088431244245.84,6703859998.185471
BBT10-10B,BBT10_10B_2023Jun22_McNabsIsland_20m,2023-06-22,10,10,20,McNabs Island,44.3697,-63.32756,14:55:00,15:08:00,820,NA,2024-06-12,100,53.4,2.04,1.94,0.5,0.01,1,500000000,47811,426906,original,4553,5,1000000,165959,original,10134,339,44,29905,10000000,6269,5,2,0.191244,6512.195121951219,6.512195121951219,1073.1707317073171,1041234146.3414634,404778048.7804878,15290243.902439024,5611.526279032636,5444532358.356149,2116552931.2317655,79951496.00739905,0.0010981770261366132,0.03345174659561871,455300000000,29893805.309734512,5806654351917.178,381249713.8087738
BBT10-2B,BBT10_2B_2023Jun22_SackvilleRiver_12m,2023-06-22,10,2,12,Sackville River,44.43068,-63.40131,10:13:00,10:26:00,750,NA,2024-06-12,100,92.1,200,1.87,0.25,0.01,1,500000000,87590,795578,original,3902,11,1000000,637707,original,20769,206,18,11906,10000000,11566,5,2,0.35036,12280,12.28,480,2121541333.3333335,1700552000,30842666.666666668,1370.0194086082886,6055318339.232027,4853727594.474256,88031358.22201926,0.0028190671450538185,0.009918628725504357,177363636363.63635,100820388.34951456,2699906935550.274,1534732098.0251102
BBT10-3B,BBT10_3B_2023Jun22_DRDCBarge_1m,2023-06-22,10,3,1,DRDC barge,44.4103,-63.39056,12:00:00,12:14:00,540,NA,2024-06-12,100,72.4,1.88,1.89,0.25,0.01,1,500000000,127526,1295589,original,14767,22,1000000,303826,original,14066,67,113,31317,10000000,16702,5,2,0.510104,13407.407407407409,13.407407407407408,4185.185185185185,4798477777.777778,1125281481.4814816,61859259.25925926,8204.57237187943,9406861694.434423,2205984429.6094155,121267936.06648694,0.0014898083564705085,0.004763258922223802,335613636363.63635,209940298.50746268,4873568793867.399,3048620128.988405
BBT10-4B,BBT10_4B_2023Jun22_DRDCBarge_20m,2023-06-22,10,4,20,DRDC barge,44.4103,-63.39056,12:15:00,12:30:00,980,NA,2024-06-12,100,66.4,2.2,1.93,0.25,0.01,1,500000000,145776,959778,reseq,2461,6,1000000,363583,original,11103,191,20,24641,10000000,13766,5,2,0.583104,6775.510204081634,6.775510204081634,408.16326530612247,1958730612.244898,742006122.4489796,28093877.551020406,699.9836483819739,3359144530.3837705,1272510774.1483161,48179874.51813126,0.002438033319788704,0.017202557867243087,205083333333.33334,58130890.05235602,1435549798890.0313,406906725.0253956
BBT10-5B,BBT10_5B_2023Jun22_McKayBridge_1m,2023-06-22,10,5,1,McKay bridge,44.40651,-63.36745,12:59:00,13:12:00,600,NA,2024-06-12,100,75.9,2.02,1.9,0.25,0.01,1,500000000,157511,790988,original,21906,57,1000000,232257,original,21394,297,331,31083,10000000,11510,5,2,0.630044,12650.000000000002,12.650000000000002,11033.333333333334,2636626666.6666665,774190000,38366666.666666664,17512.004452599074,4184829419.320978,1228787195.8148954,60895217.90012548,0.0026020268419611066,0.013882396933719735,192157894736.8421,72033670.03367004,2033274869023.3496,762207824.9949741
BBT10-6B,BBT10_6B_2023Jun22_Tufts_1m,2023-06-22,10,6,1,Tufts Cove,44.40482,-63.35722,13:29:00,13:41:00,570,FC tubes associated with this sample are BBT 10-7A and 7B,2024-06-12,100,62.3,2.43,1.96,0.25,0.01,1,500000000,121240,697334,original,19354,72,1000000,284021,original,70851,991,561,28904,10000000,9288,5,2,0.48496,10929.824561403508,10.929824561403509,19684.21052631579,2446785964.912281,996564912.2807018,32589473.684210528,40589.348660334435,5045335625.437728,2054942494.8051424,67200333.39700289,0.003720161206985636,0.013987099688077797,134402777777.77777,71494450.05045408,1944856045682.5923,1034550146.3018702
BBT10-7B,BBT10_7B_2023Jun22_McKayBridge_20m,2023-06-22,10,7,20,McKay bridge,44.40651,-63.36745,13:12:00,13:26:00,860,FC tubes associated with this sample are BBT 10-6A and 6B,2024-06-12,100,55.1,2.25,1.92,0.5,0.01,1,500000000,121751,1278784,cleaned,32821,82,1000000,963630,cleaned,108711,710,93,28490,10000000,14523,5,2,0.487004,6406.976744186047,6.406976744186046,2162.790697674419,2973916279.0697675,2241000000,33774418.60465116,4441.01218403631,6106554112.635148,4601604914.949364,69351419.29974121,0.002498400414368849,0.006531077811812972,200128048780.4878,153114084.50704226,955667852689.8484,731162919.1863868
BBT10-8B,BBT10_8B_2023Jun22_Tufts_8m,2023-06-22,10,8,8,Tufts Cove,44.40482,-63.35722,13:42:00,13:57:00,780,"Niskin weights hit the bottom, bottle should be fine",2024-06-12,100,77.5,2.17,1.93,0.25,0.01,1,500000000,66664,753881,original,4346,7,1000000,219712,original,23052,253,307,26566,10000000,10526,5,2,0.266656,9935.897435897436,9.935897435897436,7871.794871794871,1933028205.1282053,563364102.5641026,26989743.589743588,29520.411585694193,7249145735.060171,2112699892.6110892,101215587.08502187,0.0016106764841233318,0.010975186534790907,310428571428.5714,91114624.50592886,5970019020541.04,1752274408.3980448
BBT10-9B,BBT10_9B_2023Jun22_McNabsIsland_1m,2023-06-22,10,9,1,McNabs Island,44.3697,-63.32756,14:40:00,14:53:00,600,NA,2024-06-12,100,71.8,2.14,1.93,0.25,0.01,1,500000000,184277,386043,original,37454,41,1000000,179720,original,37059,620,15,32530,10000000,9983,5,2,0.737108,11966.666666666666,11.966666666666667,500,1286810000,599066666.6666666,33276666.666666664,678.3266495547463,1745755031.8270864,812725769.7198602,45144899.616700225,0.001094676136060234,0.016730079063115574,456756097560.9756,59772580.64516129,4131064444296.499,540604458.1903087
